Title,Country,Synopsis,Director,Actors,Genres,Rating,Number of Raters,URL
Long Live the King: Mokpo Hero (2019),South Korea,"Mob chief Jang Se Chul lives in the South Korean city of Mokpo, where he earns a living by bullying residents and business owners. At a protest he meets a head strong lawyer who he falls in love with at first sight and ignites a desire to change for the better.

~~ Adapted from the webtoon “Long Live the King: Mokpo Hero” (롱 리브 더 킹: 목포 영웅) by Willow Forest (버드나무숲). Edit Translation English Polski magyar / magyar nyelv dansk",Action,"Kim Rae Won, Role: Jang Se Chool
Won Jin Ah, Role: Kang So Hyun
Jin Seon Kyu, Role: Jo Kwang Choon
Choi Gwi Hwa, Role: Choi Man Soo
Cha Yeob, Role: Geun Bae
Kim Ji Eun, Role: Joon","Action
 Comedy
 Romance
 Crime",7.7,693,https://mydramalist.com//30816-long-live-the-king
The Monkey King 3 (2018),China,"While continuing their epic journey to the West, the Monkey King and his companions are taken captive by the Queen of an all-female land, who believes them to be part of an ancient prophecy heralding the fall of her kingdom. With a lot of sorcery and a little bit of charm, the travellers devise a plan to escape. But when their trickery angers the mighty River God, they realize they might just bring about the foretold destruction - unless they can find a way to quell her wrath.

",Cheang Pou Soi,"Aaron Kwok, Role: Sun Wu Kong / ""The Monkey King""
Feng Shao Feng, Role: Tang Seng
Zhao Li Ying, Role: [King of Women's Kingdom]
Xiao Shen Yang, Role: Zhu Ba Jie / ""Pigsy""
Him Law, Role: Sha Seng / ""Sandy""
Lin Chi Ling, Role: [River Goddess]","Comedy
 Wuxia
 Fantasy",7.8,521,https://mydramalist.com//22513-the-monkey-king-3
Detective K 2: Secret of the Lost Island (2015),South Korea,"In 1795, the nineteenth year of King Jeong Jo’s reign, a large amount of fake silver is slipped into circulation creating a substantial threat to the economy. Detective Kim Min is assigned the task to investigate the crime ring behind the scheme. He goes undercover in a rural village with his best friend and sidekick, Seo Pil. In the village, the pair meets a girl called Da Hae who asks them to help her find her missing sister. Soon, Da Hae goes missing, too, and discolored, bluish corpses of village girls begin to wash up on the shore. Kim Min discovers that these deaths are directly related to the manufacturing operation of counterfeit silver.

",Kim Soo Jin,"Kim Myung Min, Role: Detective K
Oh Dal Soo, Role: Seo Pil
Lee Yun Hee, Role: Hisako / Hwa Yun
Jo Kwan Woo, Role: Musician Jo
Jung Won Joong, Role: [Government official]
Lee Chae Eun, Role: Da Hae [Older sister]","Adventure
 Historical
 Mystery
 Comedy",7.8,709,https://mydramalist.com//10421-detective-k-secret-of-the-lost-island
Kamen Rider × Kamen Rider OOO & W Featuring Skull: Movie War Core (2010),Japan,"Like Kamen Rider × Kamen Rider W & Decade: Movie War 2010, Movie War Core is split into three parts. The Kamen Rider W portion of the film is titled Kamen Rider Skull: Message for Double. The story, taking place after the series epilogue, features Akiko Narumi preparing for her wedding before considering canceling it when the Futo Kamen Riders are distracted by the Pteranodon Yummy who has somehow acquired the Memory Memory. The Pteranodon Yummy uses these powers to reveal to Akiko how her father and Shotaro's mentor, Sokichi Narumi, became Kamen Rider Skull with Shroud's aid
The Kamen Rider OOO portion of the film is titled Kamen Rider OOO: Nobunaga's Desire . The Kougami Foundation has discovered the mummified remains of Oda Nobunaga and have created a Cell Medal-based homonculus of the man with his memories. Dubbed Nobunaga, he runs from the Kougami Foundation and into Eiji Hino's care. However, Nobunaga attempts to resume his conquest of Japan while targeting the descendants of those responsible for his down fall. But when forced into becoming a mindless Greeed, Eiji must stop Nobunaga before it is too late.
In the final portion of the film entitled Movie War Core  is convergence of the two films that brings the casts and characters of W and OOO to fight the evil energy-based giant Kamen Rider Core. Edit Translation English magyar / magyar nyelv dansk Norsk",Tasaki Ryuta,"Watanabe Shu, Role: Hino Eiji / Kamen Rider OOO
Kiriyama Renn, Role: Hidari Shotaro / Kamen Rider Joker
Suda Masaki, Role: Philip/Kamen Rider W
Kikkawa Koji, Role: Sokichi Narumi/Kamen Rider Skull
Okuchi Kengo, Role: Nobunaga
Kinomoto Minehiro, Role: Terui Ryu / Kamen Rider Accel","Action
 Tokusatsu
 Comedy
 Sci-Fi",7.2,578,https://mydramalist.com//3881-kamen-rider-kamen-rider-ooo-w-featuring-skull-movie-war-core
Lover's Concerto (2002),South Korea,"One day, Ji Hwan begins to receive letters from an unidentified person. The letters, containing black-and-white photos of happy children playing, remind Ji Hwan of his old two friends.
Five years earlier, while Ji Hwan is taking pictures with his camera, two girls, Soo In and Gyung Hee, walk into the frame. Ji Hwan falls in love with Soo In at first sight. He then musters up enough courage to confess his love to her, but she refuses him very politely. Even so, Ji Hwan doesn't give up and tells them that he wants to be friends the next time they meet. 
Ever since then, the three of them start a wonderful friendship. They spend time each other always and consider it the most precious moments of their lives. But they become confused between love and friendship and, finally, Gyung Hee and Soo In leave him without a trace.
The random letters inspire Ji Hwan to depart anxiously on a long journey to find his old friends, but while looking for Soo In and Gyung Hee, he confronts a beautiful yet sad secret. Edit Translation English Bahasa Indonesia magyar / magyar nyelv dansk",Romance,"Cha Tae Hyun, Role: Ji Hwan
Son Ye Jin, Role: Soo In
Lee Eun Joo, Role: Kyung Hee
Moon Geun Young, Role: Ji Yoon
Park Yong Woo, Role: Cheol Hyeon
Kim Nam Jin, Role: Suk Jin","Romance
 Drama
 Melodrama",7.4,601,https://mydramalist.com//1004-lovers-concerto
Armour of God 3: Chinese Zodiac (2012),Hong Kong,"A man searches the world for a set of mystic artifacts - 12 bronze heads of the animals from the Chinese zodiac...

The movie begins by a man telling the story of the Old Summer Palace and how it was looted in the 1800s by the British in the Second opium war. Among the treasures are bronze heads of the 12 Chinese Zodiac animals.

In the present day, the bronze heads are auctioned for over a million euros each. The main company supplying the bronze heads and other stolen relics is MP Corporation. JC is tasked by MP Corp to find the remaining lost bronze heads, with a promise of a 10 times bonus if he can recover all of them.

JC visits a man named Professor Guan, who had created 12 identical replicas for study purposes with his team of researchers, under the pretense that he is a reporter named Martin from National Geographic. When left alone, JC scans the multiple bronze Zodiac animal heads using special gloves so that his secret organisation can replicate an extremely realistic model of them. After scanning, he goes to Paris to find a woman named Coco, recommended by Professor Guan, for more information on the whereabouts of two bronze heads. Edit Translation English 中文(简体) Español magyar / magyar nyelv",Jackie Chan,"Jackie Chan, Role: JC/Martin
Chen Bo Lin, Role: Wu Qing
Kwon Sang Woo, Role: Simon
Ken  Lo, Role: [Pirate]
Zhang Lan Xin, Role: Bonnie
Liu Cheng Jun, Role: 'Pirate King'","Action
 Adventure
 Thriller
 Comedy",7.7,1037,https://mydramalist.com//6074-chinese-zodiac
For Love or Money (2014),China,"It tells the moving story between a fallen noble lady and a rich heir to a large company. She’s broken and has lost the direction in life, whereas he chooses a life of poverty and freedom to pursue his passion as a painter. Together, will they be able to find themselves in this world of twists and turns before it’s too late?

",Romance,"Rain, Role: Xu Cheng Xu
Crystal Liu, Role: Xing Lu
Joan Chen, Role: [Cheng Xu's Mother]
Andy  On, Role: Brother Lian
Li Yu Xuan, Role: Xiao Ding
Tiffany Tang, Role: Ming Zhen","Romance
 Drama",7.4,543,https://mydramalist.com//9685-for-love-or-money
Madeleine (2003),South Korea,"Old high school friends Ji Seok and Hee Jin, who are now in their mid-twenties, meet by random chance. Hee Jin suggests that they start dating for a month and if they haven't fallen in love by then, they should go their separate ways. Ji Seok is apprehensive at first, but then agrees to go along with this unusual arrangement.

",Park Gwang Choon,"Shin Min Ah, Role: Lee Hee Jin
Zo In Sung, Role: Kang Ji Suk
Kang Rae Yeon, Role: Lee Yoo Jung
Park Jung Ah, Role: Hong Sung Hae
Ha Jung Woo, Role: Joon Ho
Kim Soo Ro, Role: Shim Man Ho","Comedy
 Romance
 Melodrama",7.1,570,https://mydramalist.com//1438-madeleine
Honest Candidate (2020),South Korea,"A comedy about a third term congresswoman named Joo Sang Sook who is an expert liar, but one day can’t lie anymore, with only a day to go before the elections. 

",Heo Sung Hye,"Ra Mi Ran, Role: Ju Sang Suk
Kim Mu Yeol, Role: Park Hee Cheol
Na Moon Hee, Role: Kim Ok Hee
Yoon Gyung Ho, Role: Bong Man Shik
Song Young Chang, Role: Lee Un Hak
Ohn Joo Wan, Role:  Song Jung Shik","Comedy
 Political",7.8,847,https://mydramalist.com//38191-an-honest-candidate
My Personal Trainer (2019),South Korea,"YouTuber Jin Ho starts going to the gym to collect subscribers. But somehow he's more interested in good-looking trainer Seok Hoon than he is in shape. Looking at Seok Hoon, who is exceptionally friendly, Jin Ho is sure that Seok Hoon is also in love with him. Then, Seok Hoon and Jin Ho met in the shower. ""Are you free today, sir?""

",Comedy,"Lee Na Gil, Role: Jin Ho
Jang Seok Hoon, Role: Seok Hoon
Moon Soo Ho, Role: Kang Woo
Kim Henry, Role: [Gym trainer]
Lee San, Role: Young Joon","Comedy
 Romance",6.7,747,https://mydramalist.com//53067-my-personal-trainer
Dororo (2007),Japan,"The hero, Hyakkimaru is a wandering ""demon hunter"" whose extra body parts - 48 to be exact - were grafted onto his head and trunk by a herb doctor who discovered him as an infant, in a process that echoes ""Frankenstein"" and ""The Island of Dr. Moreau."" His warlord father gave the originals to 48 demons in exchange for power. When Hyakkimaru kills a demon, he wins back a body part.
He is spotted in one of these battles, with a giant spider demon, by Dororo, a scrappy female thief who is fascinated by not only Hyakkimaru's prowess with the sword blade poking out of his arm but the new leg he grows after dicing his opponent. Is he a man - or a monster? After hearing his story from an old minstrel, she decides to join him on his travels and find out for herself.
Dororo dresses, talks and swaggers like a guy, but she obviously has more than a matey interest in this strange, fearsome but good-looking bionic warrior. It is an interest that she hides with a bluster that makes the grim-visaged Hyakkimaru smile. What really bonds them, however, are their various battles with demons. Dororo proves herself a fearless ally - if one inclined to get into trouble at awkward moments. But Hyakkimaru decides he must go it alone when he finally encounters his most relentless enemy, his own father. Meanwhile, Dororo realizes that her pal is the son of the man who killed her father and left her an orphan. Is this end of a beautiful friendship? Edit Translation English magyar / magyar nyelv dansk Norsk",Nakamura Masaru,"Tsumabuki Satoshi, Role: Hyakkimaru
Shibasaki Ko, Role: Dororo
Nagayama Eita, Role: Tahomaru
Nakai Kiichi, Role: Kagemitsu Daigo
Harada Yoshio, Role: Jukai
Harada Mieko, Role: [Hyakkimaru's mother]","Action
 Supernatural",7.3,759,https://mydramalist.com//359-dororo
A Special Lady (2017),South Korea,"Depicts a story about a woman who establishes a prominent company out of a criminal enterprise by an organized crime group, and a man, who falls in love with her and begins a fight for her that is almost impossible to win. Edit Translation English Español Italiano Português (Brasil)",Gangster Supporting Character,"Kim Hye Soo, Role: Na Hyun Jung
Lee Sun Kyun, Role: Im Sang Hoon
Lee Hee Joon, Role: Prosecutor Choi
Kim Min Seok, Role: Joo Hwan
Choi Moo Sung, Role: Chairman Kim
Kim Tae Gyum, Role: [Sang Hoon's young man]","Action
 Crime
 Drama",7.0,623,https://mydramalist.com//20066-precious-woman
Sukitomo (2007),Japan,"Young and earnest, Tomokazu is a third-year college student and also a member of the boxing team. He has a great friendship with Yoshiki, who he sees as a younger brother. But, unlike Tomozaku, Yoshiki's feelings are much deeper. To complete the confusion, Tomozaku's stepsister Misao, also secretly nurtures feelings for him and starts to get jealous of the relationship between the two boys. What will Tomozaku do when he finds out about the true feelings of Yoshiki and Misao? Edit Translation English Română magyar / magyar nyelv dansk",Kanasugi Hiroko,"Aiba Hiroki, Role: Sato Yoshiki
Saitoh Takumi, Role: Tomokazu
Ashizawa Akiko, Role: Unkown Job","Romance
 Youth",6.4,692,https://mydramalist.com//1411-sukitomo
A Man Who Was Superman (2008),South Korea,A snobbish producer makes a documentary about the extraordinary behavior of her neighbor who believes himself to be Superman. Edit Translation English Français Español magyar / magyar nyelv,Jung Yoon Chul,"Hwang Jung Min, Role: Superman
Jun Ji Hyun, Role: Song Soo Jung
Sun Woo Sun, Role: Kim Jak Ka [Writer]
Seo Young Hwa, Role: [Superman's wife]
Jin  Ji Hee, Role: Hee Jung / Ji Young
Do Yong Gu, Role: [Director]","Comedy
 Drama",7.7,793,https://mydramalist.com//704-a-man-who-was-superman
One Cut of the Dead (2018),Japan,"A temperamental director is shooting a zombie movie in an abandoned factory. When real living dead attack the cast, the filmmaker sees an opportunity to realize his masterpiece.

",Ueda Shinichiro,"Hamatsu Takayuki, Role: Higurashi Takayuki
Akiyama Yuzuki, Role: Matsumoto Aika / Chinatsu
Shuhama Harumi, Role: Higurashi Harumi
Mao, Role: Higurashi Mao
Ichihara Hiroshi, Role: Yamanouchi Hiroshi
Nagaya Kazuaki, Role: Kamiya Kazuaki","Horror
 Comedy",8.1,811,https://mydramalist.com//28848-one-cut-of-the-dead
The Fable: The Killer Who Doesn't Kill (2021),Japan,"Akira is the legendary killer known as the Fable. Following the order of his boss and due to being overworked, he lives peacefully with his partner Yoko as ordinary siblings. Akira still works part-time at design company Octopus with CEO Takoda and employee Misaki. CEO Takoda and Misaki are unaware of Akira's background as an assassin.
Meanwhile, Utsubo is a representative for an NPO. But, Utsubo works with contract killer Suzuki to set people up for extortion purposes. They target someone at design company Octopus.
",Eguchi Kan,"Okada Junichi, Role: ""Fable"" / ""Sato Akira""
Tsutsumi Shinichi, Role: ""Utsubo"" / Kawahira Koichi
Hirate Yurina, Role: Saba Hinako
Kimura Fumino, Role: ""Sato Yoko"" [Akira's sister]
Ando Masanobu, Role: Suzuki [Utsubo's subordinate]
Kurose Jun, Role: Isaki [Utsubo's subordinate]","Action
 Thriller
 Comedy
 Crime",7.9,748,https://mydramalist.com//67345-the-fable-2
